Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
  7.969924812030075e+00,  8.513586552034768e+00
  7.994987468671679e+00,  8.501077811634378e+00
  8.020050125313283e+00,  8.049660944720586e+00
  8.045112781954888e+00,  7.472405751305629e+00
  8.070175438596491e+00,  6.921936081891986e+00
  8.095238095238095e+00,  6.395638962175873e+00
  8.120300751879698e+00,  5.876396994277438e+00
  8.145363408521304e+00,  5.365982526585892e+00
  8.170426065162907e+00,  4.866747142639077e+00
  8.195488721804512e+00,  4.389641263481590e+00
  8.220551378446114e+00,  3.914150011392984e+00
  8.245614035087719e+00,  3.462155587124436e+00
  8.270676691729323e+00,  3.004754370999795e+00
  8.295739348370928e+00,  2.505568088213406e+00
  8.320802005012531e+00,  1.994238335180229e+00
  8.345864661654135e+00,  1.273058052703107e+00
  8.370927318295738e+00,  4.027936885794061e-01
  8.395989974937343e+00,  1.212281300054258e-12
  8.421052631578947e+00,  1.625208673522679e-13
  8.446115288220552e+00,  6.135130822363577e-14
  8.471177944862156e+00,  5.573395250779577e-13
  8.496240601503759e+00,  7.664636925959433e-14
  8.521303258145362e+00,  6.937343311166094e-14
  8.546365914786968e+00,  1.057648370629245e-13
  8.571428571428571e+00,  1.219012329530446e-13
  8.596491228070175e+00,  1.065517530749709e-13
  8.621553884711780e+00,  1.144369141644594e-13
  8.646616541353383e+00,  8.667012513679970e-14
  8.671679197994987e+00,  8.093595502566554e-14
  8.696741854636592e+00,  8.519307402377728e-14
  8.721804511278195e+00,  1.404926647571639e-13
  8.746867167919799e+00,  1.411693547034773e-13
  8.771929824561402e+00,  3.362208413197840e-14
  8.796992481203008e+00,  2.456312945638343e-14
  8.822055137844611e+00,  2.900158676246527e-14
  8.847117794486216e+00,  9.031999081223608e-14
  8.872180451127820e+00,  9.736380021698884e-14
  8.897243107769423e+00,  7.303345070498436e-14
  8.922305764411027e+00,  6.151553182060807e-14
  8.947368421052632e+00,  4.417092202887064e-14
  8.972431077694235e+00,  3.927177776689632e-14
  8.997493734335841e+00,  3.784094111138271e-14
  9.022556390977442e+00,  3.673971453072177e-14
  9.047619047619047e+00,  3.623766498746722e-14
  9.072681704260651e+00,  3.527831711087389e-14
  9.097744360902256e+00,  3.386332277951070e-14
  9.122807017543860e+00,  3.017311419162851e-14
  9.147869674185463e+00,  2.779193050916075e-14
  9.172932330827066e+00,  2.517825613143871e-14
  9.197994987468672e+00,  1.792242083999714e-14
  9.223057644110275e+00,  1.296137814340562e-14
  9.248120300751880e+00,  1.090121487362619e-14
  9.273182957393484e+00,  1.051680061114832e-14
  9.298245614035087e+00,  1.067413425736030e-14
  9.323308270676691e+00,  1.026553439405797e-14
  9.348370927318296e+00,  1.076829350519318e-14
  9.373433583959899e+00,  1.028406383426225e-14
  9.398496240601503e+00,  1.296745791499791e-14
  9.423558897243108e+00,  2.047055118176294e-14
  9.448621553884712e+00,  2.004280183770548e-14
  9.473684210526315e+00,  1.988023955631619e-14
  9.498746867167920e+00,  2.317167796138489e-14
  9.523809523809524e+00,  2.209586542579523e-14
  9.548872180451127e+00,  2.078981746789006e-14
  9.573934837092731e+00,  2.237931042355765e-14
  9.598997493734336e+00,  2.068947709547107e-14
  9.624060150375939e+00,  2.421754527273950e-14
  9.649122807017545e+00,  5.761870090991479e-15
  9.674185463659148e+00,  8.699062795134188e-14
  9.699248120300751e+00,  1.124735275128676e-13
  9.724310776942355e+00,  3.561183062806507e-14
  9.749373433583960e+00,  3.402203517266596e-14
  9.774436090225564e+00,  4.200801182642685e-15
  9.799498746867169e+00,  3.812603174066126e-14
  9.824561403508770e+00,  2.369963587171761e-14
  9.849624060150376e+00,  1.888815333563911e-14
  9.874686716791979e+00,  5.945526715893877e-14
  9.899749373433584e+00,  7.042288348079142e-15
  9.924812030075188e+00,  3.872170555298147e-15
  9.949874686716791e+00,  6.063370608212083e-14
  9.974937343358395e+00,  1.338046475552105e-13
  1.000000000000000e+01,  4.991942797548011e-14
