Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm
  9.273182957393484e+00,  1.369586068938677e+01
  9.298245614035087e+00,  1.360869299995343e+01
  9.323308270676691e+00,  1.352557289327421e+01
  9.348370927318296e+00,  1.343751101140739e+01
  9.373433583959899e+00,  1.333262404074277e+01
  9.398496240601503e+00,  1.322458897890154e+01
  9.423558897243108e+00,  1.312039549374663e+01
  9.448621553884712e+00,  1.303103177725505e+01
  9.473684210526315e+00,  1.294597466514908e+01
  9.498746867167920e+00,  1.281679693423211e+01
  9.523809523809524e+00,  1.266238041990042e+01
  9.548872180451127e+00,  1.248092709773985e+01
  9.573934837092731e+00,  1.228395916973238e+01
  9.598997493734336e+00,  1.208372077366769e+01
  9.624060150375939e+00,  1.184971113966034e+01
  9.649122807017545e+00,  1.158986600735168e+01
  9.674185463659148e+00,  1.133498047193297e+01
  9.699248120300751e+00,  1.104973267044027e+01
  9.724310776942355e+00,  1.077776354236650e+01
  9.749373433583960e+00,  1.065585206449850e+01
  9.774436090225564e+00,  1.046860696892161e+01
  9.799498746867169e+00,  1.026209757620101e+01
  9.824561403508770e+00,  1.003243514509825e+01
  9.849624060150376e+00,  9.812910914962329e+00
  9.874686716791979e+00,  9.617624707143609e+00
  9.899749373433584e+00,  9.465638240307227e+00
  9.924812030075188e+00,  9.358677896811873e+00
  9.949874686716791e+00,  9.303753381159233e+00
  9.974937343358395e+00,  9.324520109931127e+00
  1.000000000000000e+01,  9.370607178413792e+00
